SEQ_NUM,ACC,Latitude,Longitude
11437,0,44.9,-93.1
10705,0,44.9,-93.1
40414,0,44.9,-93.1
10124,0,44.9,-93.1
68734,0,44.9,-93.1
38313,1,44.9,-93.1
11299,0,44.9,-93.1
62257,0,44.9,-93.1
10295,0,44.9,-93.1
38317,3,44.9,-93.1
62262,0,44.9,-93.1
62349,0,44.9,-93.1
62258,0,44.9,-93.1
41400,0,44.9,-93.1
42936,0,44.9,-93.1
42934,0,44.9,-93.1
42935,0,44.9,-93.1
11563,0,44.9,-93.1
10294,0,44.9,-93.1
10818,0,44.9,-93.1
41399,0,44.9,-93.1
41399,0,44.9,-93.1
70288,0,44.9,-93.1
70100,0,44.9,-93.1
70288,0,44.9,-93.1
70102,0,44.9,-93.1
11610,0,44.9,-93.1
70809,0,44.9,-93.1
70808,0,44.9,-93.1
10707,0,44.9,-93.1
11298,0,44.9,-93.1
62268,0,44.9,-93.1
10296,0,44.9,-93.1
62255,0,44.9,-93.1
62256,0,44.9,-93.1
61924,0,44.9,-93.1
68363,0,44.9,-93.1
68322,0,44.9,-93.1
10297,0,44.9,-93.1
67837,0,44.9,-93.1
42565,0,44.9,-93.1
11296,0,44.9,-93.1
62163,0,44.9,-93.1
67838,0,44.9,-93.1
42565,0,44.9,-93.1
61924,0,44.9,-93.1
70101,0,44.9,-93.1
70103,0,44.9,-93.1
37104,0,44.9,-93.1
70380,0,44.9,-93.1
38162,0,44.9,-93.1
37110,0,44.9,-93.1
38160,0,44.9,-93.1
68501,0,44.9,-93.1
40412,0,44.9,-93.1
39173,0,44.9,-93.1
36258,0,44.9,-93.1
40413,0,44.9,-93.1
40413,0,44.9,-93.1
36260,0,44.9,-93.1
11609,0,44.9,-93.1
63273,0,44.9,-93.1
62800,0,44.9,-93.1
68629,0,44.9,-93.1
40410,0,44.9,-93.1
68630,0,44.9,-93.1
40411,0,44.9,-93.1
11713,0,44.9,-93.1
42480,0,44.9,-93.1
11287,0,44.9,-93.1
35796,0,44.9,-93.1
40403,0,44.9,-93.1
10686,0,44.9,-93.1
37717,0,44.9,-93.1
